0,0,0.0,0.349609375,9.6875,0.625,-0.11767578125,8.5,156.0,-0.3125,-1.5,0.0
1,100.8,-0.11962890625,0.1396484375,9.75,0.5859375,-0.3125,8.4375,156.0,-0.375,-1.5,0.0
2,201.6,-0.1796875,0.19921875,9.75,0.6640625,-0.1953125,8.375,156.0,-0.25,-1.625,92672.0
3,302.4,1.453125,0.6875,9.5625,-0.6640625,-0.546875,8.625,156.0,9.75,-2.0,92672.0
4,403.2,3.890625,0.51953125,9.0,-4.0625,-0.4296875,6.78125,158.0,31.625,-2.9375,92672.0
5,504.0,7.21875,0.318359375,6.875,-6.375,-0.546875,5.9375,160.0,46.0,-4.125,92672.0
6,604.8,8.1875,0.3984375,4.40625,-8.0,-0.0390625,3.359375,157.0,61.5,-3.3125,92672.0
7,705.6,10.1875,0.298828125,1.3671875,-8.375,-0.6640625,1.5234375,155.0,77.0,-4.9375,92672.0
8,806.4,9.0,0.00994873046875,1.375,-9.3125,-0.0390625,0.5859375,156.0,80.5,-8.75,92672.0
9,907.2,16.75,0.5390625,-0.26953125,-9.875,-0.078125,0.15625,155.0,80.5,-12.125,92672.0
10,1008.0,4.6875,-6.25,5.0,-4.0625,6.65625,3.71875,163.0,31.25,52.75,92672.0
11,1108.8,2.796875,-7.75,6.0,-3.4375,6.9375,3.046875,157.0,23.25,55.0,92672.0
12,1209.6,2.859375,-7.0,3.46875,-8.5,0.4296875,0.98046875,173.0,74.0,9.6875,92672.0
13,1310.4,9.0625,0.059814453125,0.51953125,-8.625,0.470703125,-0.2353515625,170.0,79.0,11.25,92672.0
14,1411.2,22.0,-1.2890625,3.359375,-19.25,1.796875,2.15625,171.0,79.0,9.5625,92672.0
15,1512.0,-10.25,-1.21875,-1.984375,10.75,1.2109375,-3.4375,18.625,-81.0,130.0,92672.0
16,1612.8,-9.4375,-0.75,-1.1953125,10.25,0.3515625,-3.25,17.75,-81.5,137.0,92672.0
17,1713.6,-9.5625,-0.95703125,-0.83984375,10.5,0.6640625,-2.9375,19.125,-81.0,134.0,92672.0
18,1814.4,-8.25,-2.46875,1.3828125,10.5,1.25,-2.625,27.375,-74.0,119.5,92672.0
19,1915.2,-6.3125,-7.96875,-4.46875,7.75,5.6875,-5.5625,77.5,-32.5,114.0,92672.0
20,2016.0,13.25,-0.6484375,5.09375,-23.875,-1.921875,1.484375,152.0,86.0,-0.0625,92672.0
21,2116.8,-7.1875,1.125,1.3671875,7.5625,-1.3671875,0.78125,137.0,71.0,142.0,92672.0
22,2217.6,9.875,1.2578125,3.421875,10.625,-1.1328125,1.25,146.0,83.0,135.0,92672.0
23,2318.4,16.25,-0.75,1.0,-20.875,1.328125,0.859375,158.0,74.5,0.875,92672.0
24,2419.2,9.375,0.189453125,2.4375,-9.3125,-0.11767578125,1.7578125,158.0,70.0,-3.4375,92672.0
25,2520.0,9.25,0.65625,3.34375,-9.0,-0.3125,2.15625,157.0,65.5,-4.1875,92672.0
26,2620.8,7.125,0.546875,6.0,-7.59375,-0.1953125,4.3125,158.0,52.0,-4.6875,92672.0
27,2721.6,4.15625,0.19921875,8.3125,-3.59375,-0.2734375,6.9375,156.0,27.25,-3.0625,92672.0
28,2822.4,2.671875,0.1591796875,9.0,-1.8828125,-0.15625,7.9375,157.0,11.3125,-2.1875,92672.0
29,2923.2,1.484375,1.0625,10.125,-1.6796875,-0.546875,9.8125,156.0,8.5,-2.25,92672.0
30,3024.0,2.1875,0.51953125,11.125,-1.0546875,-0.3515625,9.125,156.0,6.9375,-2.9375,92672.0
31,3124.8,0.75,-0.169921875,9.9375,-0.11767578125,0.0390625,8.125,156.0,1.1875,-2.4375,92672.0
32,3225.6,0.75,-0.578125,10.375,0.7421875,-0.2734375,7.1875,157.0,0.5625,-1.4375,92672.0
33,3326.4,-0.0498046875,0.2099609375,9.6875,0.5859375,-0.15625,8.3125,158.0,0.5,-1.4375,92672.0
34,3427.2,-0.0299072265625,0.2197265625,9.6875,0.5078125,-0.2734375,8.5,158.0,0.5,-1.4375,92672.0
35,3528.0,0.349609375,0.298828125,10.0625,0.546875,-0.2353515625,8.6875,157.0,0.375,-1.4375,92672.0
36,3628.8,-0.169921875,0.19921875,10.0625,1.640625,0.470703125,7.90625,155.0,-3.0625,-1.0,92672.0
37,3729.6,-0.5078125,0.26953125,9.75,1.40625,-0.2734375,8.5,153.0,-2.875,-1.0,92672.0
38,3830.4,-1.015625,-0.48828125,9.75,1.5234375,0.3125,8.4375,153.0,-3.125,-0.9375,92672.0
39,3931.2,-0.62890625,-0.3984375,9.6875,0.703125,1.0546875,8.8125,154.0,-2.8125,-1.25,92672.0
40,4032.0,-0.8671875,-1.1328125,9.6875,0.703125,0.5859375,8.625,155.0,-2.3125,-1.125,92672.0
41,4132.8,-0.609375,-1.2890625,9.8125,0.5859375,1.328125,8.5625,154.0,-0.6875,-1.375,92672.0
42,4233.6,-0.73828125,-1.1875,9.75,-1.3671875,-1.9609375,7.90625,153.0,0.8125,-1.6875,92672.0
43,4334.4,-0.07958984375,0.07958984375,9.6875,0.625,1.328125,6.25,153.0,0.8125,-1.75,92672.0
44,4435.2,-0.11962890625,-0.08984375,9.8125,0.78125,-0.546875,9.4375,151.0,0.5625,-1.3125,92672.0
45,4536.0,-1.0,0.07958984375,10.0,-0.2734375,-0.2353515625,8.6875,153.0,-0.5625,-0.875,92672.0
46,4636.8,0.328125,-0.039794921875,9.8125,0.2353515625,-0.7421875,9.875,156.0,0.625,-1.0,92672.0
